"ID","Adoption","Died","Euthanasia","Return_to_owner","Transfer"
270,0.787,0,0.011,0.144,0.058
271,0.018,0.025,0.116,0.016,0.825
272,0.187,0.1,0.172,0.026,0.515
273,0.022,0.027,0.092,0.461,0.398
274,0.182,0.011,0.125,0.146,0.536
275,0.25,0.027,0.209,0.149,0.365
276,0.006,0.028,0.129,0.008,0.829
277,0,0.036,0.088,0.006,0.87
278,0.164,0.007,0.167,0.065,0.597
279,0.477,0.014,0.026,0.141,0.342
280,0.094,0.032,0.13,0.143,0.601
281,0.466,0,0.115,0.24,0.179
282,0.288,0.001,0.054,0.391,0.266
283,0.005,0.005,0.085,0.064,0.841
284,0.673,0,0.009,0.044,0.274
285,0.221,0,0.061,0.461,0.257
286,0.371,0.001,0.07,0.301,0.257
287,0.008,0.024,0.179,0.01,0.779
288,0.001,0.024,0.062,0.01,0.903
289,0.603,0,0.019,0.186,0.192
290,0.43,0,0.045,0.38,0.145
291,0.84,0.001,0.016,0.023,0.12
292,0.936,0,0.005,0.027,0.032
293,0.739,0,0.012,0.041,0.208
294,0.063,0.006,0.111,0.134,0.686
295,0.321,0.001,0.054,0.518,0.106
296,0.006,0.007,0.097,0.06,0.83
297,0.336,0.001,0.11,0.377,0.176
298,0.061,0.06,0.295,0.07,0.514
299,0.609,0.002,0.018,0.24,0.131
300,0.188,0.001,0.028,0.275,0.508
301,0.489,0.004,0.014,0.427,0.066
302,0.673,0.001,0.014,0.018,0.294
303,0.88,0.001,0.009,0.062,0.048
304,0.321,0.001,0.098,0.354,0.226
305,0.012,0.007,0.292,0.066,0.623
306,0.297,0,0.091,0.557,0.055
307,0.888,0,0.005,0.06,0.047
308,0.269,0.002,0.018,0.296,0.415
309,0.762,0,0.001,0.178,0.059
310,0.115,0.076,0.019,0.019,0.771
311,0.28,0.014,0.041,0.264,0.401
312,0.758,0,0.021,0.03,0.191
313,0.014,0.016,0.159,0.019,0.792
314,0.369,0,0.079,0.369,0.183
315,0.041,0.013,0.034,0.012,0.9
316,0.485,0.003,0.024,0.399,0.089
317,0.459,0.005,0.042,0.41,0.084
318,0.835,0,0.003,0.052,0.11
319,0.004,0.025,0.077,0.021,0.873
320,0.409,0,0.008,0.516,0.067
321,0.327,0.001,0.028,0.236,0.408
322,0,0.011,0.063,0.004,0.922
323,0,0.024,0.108,0.009,0.859
324,0.676,0.002,0.028,0.03,0.264
325,0.817,0,0.003,0.022,0.158
326,0.922,0,0.002,0.04,0.036
327,0.717,0,0.007,0.071,0.205
328,0.297,0,0.066,0.379,0.258
329,0.692,0,0.011,0.169,0.128
330,0.052,0.005,0.094,0.356,0.493
331,0.235,0.001,0.176,0.425,0.163
332,0.005,0.017,0.148,0.006,0.824
333,0.953,0.001,0.007,0.025,0.014
334,0.51,0,0.009,0.025,0.456
335,0.019,0.12,0.283,0.03,0.548
336,0.759,0.001,0.009,0.028,0.203
337,0.013,0.025,0.645,0.027,0.29
338,0.399,0.008,0.044,0.185,0.364
339,0.037,0.021,0.241,0.097,0.604
340,0.433,0.003,0.022,0.413,0.129
341,0.229,0.004,0.067,0.051,0.649
342,0.53,0.001,0.005,0.039,0.425
343,0.014,0.015,0.501,0.085,0.385
344,0.576,0.002,0.013,0.239,0.17
345,0.773,0,0.026,0.094,0.107
346,0.363,0,0.071,0.322,0.244
347,0.239,0.001,0.035,0.513,0.212
348,0.155,0.03,0.049,0.052,0.714
349,0.157,0.002,0.074,0.634,0.133
350,0.436,0.001,0.093,0.306,0.164
351,0.622,0,0.015,0.231,0.132
352,0,0.028,0.097,0.006,0.869
353,0.37,0.048,0.06,0.43,0.092
354,0.669,0.002,0.004,0.034,0.291
355,0.632,0,0.025,0.171,0.172
356,0.012,0.193,0.302,0.007,0.486
357,0.513,0,0.03,0.065,0.392
358,0.559,0.001,0.02,0.064,0.356
359,0.221,0.071,0.03,0.021,0.657
360,0.526,0.001,0.022,0.04,0.411
361,0.794,0,0.014,0.017,0.175
362,0.089,0.015,0.118,0.267,0.511
363,0.288,0.008,0.06,0.426,0.218
364,0.663,0.003,0.005,0.04,0.289
365,0.534,0,0.036,0.126,0.304
366,0.003,0.022,0.494,0.017,0.464
367,0.453,0.014,0.014,0.035,0.484
368,0.045,0.017,0.523,0.091,0.324
369,0.004,0.016,0.088,0.007,0.885
370,0.439,0,0.026,0.061,0.474
371,0.617,0,0.014,0.193,0.176
372,0.672,0,0.016,0.074,0.238
373,0.939,0,0.002,0.033,0.026
374,0.222,0.001,0.093,0.388,0.296
375,0,0.011,0.153,0.01,0.826
376,0.325,0.007,0.043,0.438,0.187
377,0.65,0,0.066,0.125,0.159
378,0.534,0.001,0.021,0.381,0.063
379,0.354,0,0.041,0.174,0.431
380,0.224,0.108,0.012,0.023,0.633
381,0.805,0.001,0.012,0.023,0.159
382,0,0.027,0.11,0.016,0.847
383,0,0.121,0.083,0.01,0.786
384,0.007,0.011,0.246,0.019,0.717
385,0.45,0.001,0.018,0.398,0.133
386,0.109,0.002,0.062,0.621,0.206
387,0.002,0.014,0.039,0.011,0.934
388,0.64,0,0.007,0.244,0.109
389,0.863,0.001,0.002,0.057,0.077
390,0.923,0,0.003,0.042,0.032
391,0.073,0.002,0.219,0.357,0.349
392,0,0.009,0.087,0.004,0.9
393,0.886,0,0.001,0.044,0.069
394,0.008,0.012,0.106,0.025,0.849
395,0.231,0.001,0.057,0.334,0.377
396,0.194,0.003,0.087,0.558,0.158
397,0.071,0.003,0.144,0.421,0.361
398,0.625,0.032,0.029,0.04,0.274
399,0.503,0,0.007,0.359,0.131
400,0.655,0.003,0.02,0.091,0.231
401,0.81,0.002,0.02,0.037,0.131
402,0.588,0,0.008,0.256,0.148
403,0.497,0,0.045,0.389,0.069
404,0.002,0.055,0.103,0.018,0.822
405,0.157,0.004,0.029,0.029,0.781
406,0.296,0.003,0.058,0.386,0.257
407,0.493,0.002,0.014,0.033,0.458
408,0.144,0.001,0.113,0.503,0.239
409,0.787,0,0.002,0.101,0.11
410,0.001,0.041,0.12,0.031,0.807
411,0.143,0.014,0.107,0.545,0.191
412,0.826,0.001,0.017,0.031,0.125
413,0.392,0,0.017,0.375,0.216
414,0.92,0,0.006,0.042,0.032
415,0.267,0.002,0.073,0.489,0.169
416,0.944,0,0.002,0.031,0.023
417,0.397,0.001,0.029,0.336,0.237
418,0.147,0,0.045,0.175,0.633
419,0.869,0.001,0.01,0.058,0.062
420,0.721,0.001,0.009,0.085,0.184
421,0.74,0,0.002,0.172,0.086
422,0.002,0.018,0.062,0.007,0.911
423,0.004,0.215,0.122,0.006,0.653
424,0.867,0.001,0.008,0.027,0.097
425,0.542,0,0.035,0.084,0.339
426,0.009,0.031,0.247,0.109,0.604
427,0.734,0.004,0.012,0.059,0.191
428,0.023,0.011,0.267,0.015,0.684
429,0.061,0.008,0.023,0.135,0.773
430,0.001,0.014,0.039,0.007,0.939
431,0.449,0,0.01,0.114,0.427
432,0.372,0.001,0.037,0.397,0.193
433,0.377,0,0.031,0.314,0.278
434,0.381,0.002,0.087,0.382,0.148
435,0.003,0.047,0.184,0.015,0.751
436,0.008,0.011,0.069,0.011,0.901
437,0.335,0.002,0.008,0.049,0.606
438,0.291,0,0.036,0.495,0.178
439,0.004,0.018,0.122,0.018,0.838
440,0.497,0,0.01,0.043,0.45
441,0.049,0.055,0.157,0.165,0.574
442,0.529,0,0.017,0.233,0.221
443,0.664,0,0.01,0.134,0.192
444,0.307,0,0.025,0.595,0.073
445,0.611,0.003,0.017,0.307,0.062
446,0.748,0,0.012,0.137,0.103
447,0.518,0.005,0.055,0.193,0.229
448,0.13,0.035,0.072,0.025,0.738
449,0.618,0.027,0.035,0.043,0.277
450,0.131,0.016,0.074,0.159,0.62
451,0.001,0.019,0.082,0.005,0.893
452,0.317,0.003,0.07,0.163,0.447
453,0.529,0,0.009,0.428,0.034
454,0,0.014,0.126,0.005,0.855
455,0.468,0.001,0.035,0.415,0.081
456,0.447,0,0.029,0.368,0.156
457,0.629,0,0.008,0.074,0.289
458,0.091,0.001,0.225,0.307,0.376
459,0.671,0.002,0.007,0.053,0.267
460,0.001,0.036,0.101,0.013,0.849
461,0.676,0.001,0.011,0.223,0.089
462,0.196,0.001,0.069,0.529,0.205
463,0.003,0.022,0.114,0.005,0.856
464,0.089,0.003,0.143,0.35,0.415
465,0.546,0.001,0.007,0.367,0.079
466,0.584,0.001,0.03,0.273,0.112
467,0.029,0.012,0.367,0.068,0.524
468,0.533,0,0.035,0.34,0.092
469,0.578,0.002,0.027,0.12,0.273
470,0.26,0.001,0.073,0.11,0.556
471,0.008,0.031,0.16,0.009,0.792
472,0.015,0.006,0.397,0.075,0.507
473,0.718,0.001,0.021,0.023,0.237
474,0.442,0,0.034,0.433,0.091
475,0.524,0,0.008,0.401,0.067
476,0.767,0,0.02,0.164,0.049
477,0.006,0.018,0.101,0.008,0.867
478,0.457,0,0.132,0.237,0.174
479,0.005,0.025,0.076,0.007,0.887
480,0.944,0,0.011,0.026,0.019
481,0.041,0.002,0.09,0.541,0.326
482,0.123,0.01,0.148,0.281,0.438
483,0.289,0.001,0.032,0.55,0.128
484,0.019,0.024,0.095,0.081,0.781
485,0.7,0.006,0.015,0.076,0.203
486,0.046,0.002,0.136,0.481,0.335
487,0.715,0,0.003,0.192,0.09
488,0.561,0,0.017,0.289,0.133
489,0.187,0.026,0.085,0.025,0.677
490,0,0.058,0.067,0.011,0.864
491,0.001,0.018,0.137,0.006,0.838
492,0.04,0.002,0.054,0.324,0.58
493,0.336,0.002,0.035,0.564,0.063
494,0.505,0,0.029,0.378,0.088
495,0.13,0.005,0.048,0.146,0.671
496,0.444,0.003,0.048,0.075,0.43
497,0.255,0,0.009,0.131,0.605
498,0.422,0.003,0.033,0.236,0.306
499,0.697,0.001,0.028,0.085,0.189
500,0.28,0.001,0.134,0.363,0.222
501,0.702,0.006,0.016,0.024,0.252
502,0.324,0.001,0.086,0.321,0.268
503,0.571,0.011,0.075,0.118,0.225
504,0.854,0.006,0.006,0.019,0.115
505,0.227,0.001,0.029,0.527,0.216
506,0.297,0,0.062,0.269,0.372
507,0.094,0.004,0.213,0.386,0.303
508,0.403,0.003,0.044,0.317,0.233
509,0.565,0.018,0.119,0.223,0.075
510,0.76,0.001,0.009,0.034,0.196
511,0.644,0.011,0.005,0.101,0.239
512,0.148,0.003,0.107,0.581,0.161
513,0.489,0,0.03,0.401,0.08
514,0.183,0.001,0.027,0.021,0.768
515,0.176,0.009,0.028,0.511,0.276
516,0.253,0,0.022,0.313,0.412
517,0.109,0.008,0.135,0.112,0.636
518,0.452,0.004,0.072,0.094,0.378
519,0.004,0.021,0.082,0.013,0.88
520,0,0.017,0.14,0.004,0.839
521,0.592,0,0.03,0.148,0.23
522,0.47,0.051,0.028,0.166,0.285
523,0.841,0.001,0.026,0.071,0.061
524,0.212,0,0.035,0.19,0.563
525,0.473,0.001,0.005,0.036,0.485
526,0.182,0.003,0.097,0.541,0.177
527,0.478,0,0.026,0.237,0.259
528,0.238,0,0.025,0.578,0.159
529,0.002,0.011,0.044,0.006,0.937
530,0.845,0.001,0.008,0.029,0.117
531,0.001,0.041,0.133,0.026,0.799
532,0.344,0,0.037,0.568,0.051
533,0.784,0,0.005,0.063,0.148
534,0.76,0,0.019,0.036,0.185
535,0.025,0.102,0.291,0.033,0.549
536,0.683,0.001,0.012,0.027,0.277
537,0.665,0,0.027,0.206,0.102
538,0.329,0.011,0.014,0.083,0.563
539,0.316,0.005,0.035,0.333,0.311
540,0.029,0.004,0.306,0.232,0.429
541,0.034,0.019,0.145,0.329,0.473
542,0,0.011,0.092,0.008,0.889
543,0.852,0.002,0.013,0.026,0.107
544,0.002,0.023,0.18,0.011,0.784
545,0.007,0.022,0.135,0.012,0.824
546,0.453,0,0.033,0.393,0.121
547,0.001,0.016,0.098,0.007,0.878
548,0.628,0.002,0.023,0.207,0.14
549,0.047,0.023,0.324,0.158,0.448
550,0.001,0.035,0.066,0.014,0.884
551,0.459,0.001,0.004,0.106,0.43
552,0.523,0,0.023,0.158,0.296
553,0.61,0.001,0.01,0.205,0.174
554,0.656,0.001,0.012,0.061,0.27
555,0.004,0.019,0.11,0.005,0.862
556,0.25,0.007,0.26,0.081,0.402
557,0.057,0.006,0.099,0.453,0.385
558,0.701,0,0.003,0.159,0.137
559,0.879,0,0.002,0.026,0.093
560,0.297,0.003,0.137,0.395,0.168
561,0.399,0.002,0.013,0.523,0.063
562,0.205,0.007,0.119,0.585,0.084
563,0.061,0.003,0.137,0.308,0.491
564,0.466,0,0.023,0.399,0.112
565,0.026,0.01,0.229,0.035,0.7
566,0.466,0,0.036,0.187,0.311
567,0.008,0.024,0.084,0.065,0.819
568,0.731,0,0.049,0.159,0.061
569,0.637,0,0.01,0.262,0.091
570,0.634,0.001,0.006,0.144,0.215
571,0.834,0,0.002,0.117,0.047
572,0.488,0.001,0.02,0.354,0.137
573,0.052,0.002,0.25,0.307,0.389
574,0.002,0.019,0.097,0.007,0.875
575,0.891,0,0.004,0.062,0.043
576,0.917,0,0.007,0.044,0.032
577,0.347,0.003,0.075,0.455,0.12
578,0.159,0.001,0.003,0.022,0.815
579,0.02,0.017,0.14,0.029,0.794
580,0.495,0,0.005,0.321,0.179
581,0.318,0.001,0.036,0.483,0.162
582,0.01,0.005,0.139,0.015,0.831
583,0.36,0.002,0.049,0.372,0.217
584,0.772,0.002,0.013,0.11,0.103
585,0.173,0,0.015,0.192,0.62
586,0.321,0.016,0.075,0.016,0.572
587,0.798,0,0.029,0.041,0.132
588,0.006,0.012,0.23,0.125,0.627
589,0.237,0,0.021,0.145,0.597
590,0.564,0,0.003,0.348,0.085
591,0.48,0,0.025,0.328,0.167
592,0.206,0.002,0.041,0.505,0.246
593,0.001,0.011,0.043,0.01,0.935
594,0.204,0.005,0.089,0.507,0.195
595,0.609,0,0.034,0.16,0.197
596,0.211,0.001,0.044,0.342,0.402
597,0.804,0.001,0.069,0.099,0.027
598,0.363,0,0.038,0.367,0.232
599,0.792,0,0.007,0.11,0.091
600,0.206,0.126,0.216,0.028,0.424
601,0.003,0.015,0.074,0.014,0.894
602,0.56,0,0.008,0.193,0.239
603,0.319,0.003,0.057,0.288,0.333
604,0.025,0.007,0.119,0.436,0.413
605,0.004,0.021,0.037,0.019,0.919
606,0.009,0.025,0.278,0.026,0.662
607,0.535,0,0.035,0.187,0.243
608,0.158,0.013,0.327,0.097,0.405
609,0.001,0.028,0.094,0.006,0.871
610,0.145,0.002,0.078,0.277,0.498
611,0.448,0,0.009,0.07,0.473
612,0.256,0,0.033,0.188,0.523
613,0.631,0.001,0.034,0.047,0.287
614,0.329,0,0.032,0.15,0.489
615,0.685,0.001,0.006,0.043,0.265
616,0.27,0.016,0.025,0.589,0.1
617,0.775,0,0.044,0.145,0.036
618,0.478,0,0.023,0.32,0.179
619,0.941,0,0.005,0.027,0.027
620,0.909,0,0.005,0.018,0.068
621,0.026,0.023,0.245,0.051,0.655
622,0.661,0,0.038,0.221,0.08
623,0.121,0.011,0.162,0.113,0.593
624,0.301,0.001,0.051,0.458,0.189
625,0.321,0,0.039,0.366,0.274
626,0.254,0.002,0.062,0.188,0.494
627,0.236,0.002,0.041,0.244,0.477
628,0.034,0.083,0.183,0.026,0.674
629,0.335,0,0.004,0.646,0.015
630,0.002,0.014,0.097,0.004,0.883
631,0.379,0.001,0.048,0.389,0.183
632,0.625,0,0.016,0.25,0.109
633,0.595,0.001,0.013,0.075,0.316
634,0.549,0.002,0.023,0.044,0.382
635,0,0.02,0.051,0.007,0.922
636,0.456,0.004,0.056,0.017,0.467
637,0.126,0.001,0.01,0.018,0.845
638,0.427,0.001,0.024,0.311,0.237
639,0,0.014,0.075,0.002,0.909
640,0.602,0.001,0.005,0.073,0.319
641,0.06,0.036,0.202,0.025,0.677
642,0.186,0.041,0.035,0.017,0.721
643,0.006,0.023,0.085,0.01,0.876
644,0.484,0.009,0.04,0.333,0.134
645,0.765,0.001,0.013,0.031,0.19
646,0.48,0.001,0.044,0.348,0.127
647,0.272,0,0.084,0.223,0.421
648,0.006,0.022,0.047,0.006,0.919
649,0.068,0.013,0.08,0.097,0.742
650,0.001,0.103,0.101,0.006,0.789
651,0.001,0.031,0.141,0.014,0.813
652,0.674,0,0.008,0.231,0.087
653,0.284,0.001,0.07,0.372,0.273
654,0.851,0,0.008,0.04,0.101
655,0.913,0,0.003,0.046,0.038
