ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
63,0.318,0.001,0.006,0.215,0.46
64,0.003,0.044,0.077,0.014,0.862
65,0.013,0.039,0.187,0.026,0.735
66,0.922,0,0.002,0.049,0.027
67,0.847,0,0.007,0.023,0.123
68,0.17,0.006,0.215,0.39,0.219
69,0.371,0.002,0.064,0.383,0.18
70,0.006,0.006,0.149,0.032,0.807
71,0.041,0.022,0.103,0.075,0.759
72,0.777,0,0.002,0.106,0.115
73,0,0.004,0.032,0.001,0.963
74,0.425,0,0.063,0.353,0.159
75,0.001,0.044,0.054,0.015,0.886
76,0.638,0.044,0.025,0.019,0.274
77,0.891,0,0.01,0.022,0.077
78,0.178,0.008,0.2,0.061,0.553
79,0.465,0.002,0.065,0.351,0.117
80,0.883,0.007,0.004,0.026,0.08
81,0,0.046,0.065,0.005,0.884
82,0.001,0.027,0.08,0.009,0.883
83,0.53,0.001,0.022,0.258,0.189
84,0.007,0.026,0.074,0.014,0.879
85,0.225,0.001,0.077,0.493,0.204
86,0.072,0.029,0.232,0.011,0.656
87,0.062,0.001,0.181,0.309,0.447
88,0.519,0,0.034,0.223,0.224
89,0.005,0.04,0.193,0.017,0.745
90,0.728,0,0.004,0.018,0.25
91,0.048,0.022,0.392,0.027,0.511
92,0.005,0.022,0.236,0.024,0.713
93,0.614,0.001,0.004,0.019,0.362
94,0.506,0,0.026,0.377,0.091
95,0.215,0.005,0.148,0.054,0.578
96,0.473,0.003,0.027,0.331,0.166
97,0.561,0,0.015,0.34,0.084
98,0.002,0.016,0.046,0.007,0.929
99,0.3,0.008,0.046,0.02,0.626
100,0.321,0,0.087,0.399,0.193
101,0.697,0.001,0.02,0.035,0.247
102,0.708,0.01,0.027,0.153,0.102
103,0.547,0.001,0.044,0.285,0.123
104,0.451,0,0.019,0.2,0.33
105,0.401,0,0.022,0.224,0.353
106,0.66,0.001,0.035,0.175,0.129
107,0.372,0.001,0.075,0.392,0.16
108,0.045,0.005,0.086,0.463,0.401
109,0.765,0.004,0.007,0.032,0.192
110,0.234,0,0.017,0.2,0.549
111,0.553,0,0.011,0.366,0.07
112,0.538,0.001,0.02,0.218,0.223
113,0.277,0,0.047,0.527,0.149
114,0.257,0,0.053,0.52,0.17
115,0.013,0.016,0.16,0.012,0.799
116,0.705,0.001,0.005,0.168,0.121
117,0.658,0.005,0.007,0.19,0.14
118,0.041,0.001,0.139,0.405,0.414
119,0.168,0.006,0.175,0.509,0.142
120,0.184,0.013,0.177,0.109,0.517
121,0.759,0.001,0.005,0.026,0.209
122,0.86,0.001,0.011,0.037,0.091
123,0.832,0.001,0.007,0.034,0.126
124,0.001,0.099,0.104,0.008,0.788
125,0.02,0.024,0.087,0.224,0.645
126,0.708,0.001,0.004,0.134,0.153
127,0.306,0.01,0.199,0.054,0.431
128,0.87,0.001,0.006,0.06,0.063
129,0.743,0.002,0.009,0.01,0.236
130,0.842,0.001,0.004,0.019,0.134
131,0.39,0,0.028,0.365,0.217
132,0.767,0.002,0.007,0.025,0.199
133,0.79,0.003,0.034,0.019,0.154
134,0.321,0.001,0.066,0.387,0.225
135,0.623,0.001,0.067,0.126,0.183
136,0.293,0,0.024,0.456,0.227
137,0.642,0.001,0.035,0.173,0.149
138,0,0.018,0.108,0.004,0.87
139,0.359,0,0.032,0.534,0.075
140,0.524,0.001,0.017,0.352,0.106
141,0.68,0,0.012,0.125,0.183
142,0.322,0.067,0.023,0.019,0.569
143,0.321,0.004,0.075,0.382,0.218
144,0.335,0,0.071,0.415,0.179
145,0.546,0,0.103,0.199,0.152
146,0.242,0.001,0.067,0.507,0.183
147,0.403,0.001,0.052,0.21,0.334
148,0.265,0,0.05,0.571,0.114
149,0.011,0.006,0.16,0.037,0.786
150,0.225,0.033,0.059,0.016,0.667
151,0.255,0.006,0.2,0.042,0.497
152,0.047,0.009,0.209,0.016,0.719
153,0.528,0.002,0.008,0.171,0.291
154,0.046,0.003,0.131,0.473,0.347
155,0.654,0.008,0.008,0.021,0.309
156,0.759,0,0.003,0.079,0.159
157,0.276,0,0.027,0.543,0.154
158,0.003,0.032,0.066,0.01,0.889
159,0.288,0.001,0.071,0.245,0.395
160,0.571,0.003,0.021,0.313,0.092
161,0.451,0.001,0.034,0.305,0.209
162,0.552,0,0.025,0.259,0.164
163,0.003,0.033,0.072,0.047,0.845
164,0.888,0.002,0.004,0.024,0.082
165,0.317,0,0.04,0.381,0.262
166,0.909,0,0.006,0.019,0.066
167,0.57,0.001,0.011,0.249,0.169
168,0.605,0.002,0.022,0.3,0.071
169,0.482,0,0.002,0.28,0.236
170,0.724,0,0.004,0.188,0.084
171,0.01,0.015,0.38,0.029,0.566
172,0.46,0,0.037,0.344,0.159
173,0.35,0,0.098,0.328,0.224
174,0.247,0.058,0.11,0.454,0.131
175,0.367,0.013,0.026,0.434,0.16
176,0.675,0.034,0.019,0.01,0.262
177,0.213,0.005,0.07,0.524,0.188
178,0.446,0,0.03,0.126,0.398
179,0.494,0.003,0.104,0.103,0.296
180,0.029,0.012,0.205,0.079,0.675
181,0.001,0.039,0.041,0.008,0.911
182,0.411,0.013,0.049,0.02,0.507
183,0.57,0,0.028,0.226,0.176
184,0.161,0.009,0.066,0.206,0.558
185,0.357,0,0.022,0.502,0.119
186,0.426,0,0.014,0.361,0.199
187,0.003,0.036,0.096,0.022,0.843
188,0.415,0.003,0.066,0.367,0.149
189,0.723,0,0.003,0.108,0.166
190,0.782,0,0.001,0.116,0.101
191,0.259,0.045,0.034,0.537,0.125
192,0.395,0,0.099,0.333,0.173
193,0.221,0.006,0.115,0.342,0.316
194,0.681,0,0.036,0.045,0.238
195,0.693,0,0.002,0.129,0.176
196,0.643,0,0.002,0.059,0.296
197,0.619,0,0.01,0.236,0.135
198,0.481,0.001,0.014,0.14,0.364
199,0.38,0,0.055,0.419,0.146
200,0.559,0.003,0.035,0.223,0.18
201,0,0.017,0.127,0.012,0.844
202,0.253,0,0.023,0.169,0.555
203,0.564,0,0.006,0.125,0.305
204,0.572,0.001,0.036,0.059,0.332
205,0.055,0.003,0.106,0.407,0.429
206,0.44,0.008,0.028,0.133,0.391
207,0.386,0,0.027,0.311,0.276
208,0.061,0.001,0.134,0.448,0.356
209,0.432,0.001,0.019,0.394,0.154
210,0.215,0,0.038,0.353,0.394
211,0.023,0.046,0.388,0.033,0.51
212,0.373,0,0.028,0.473,0.126
213,0.46,0,0.065,0.381,0.094
214,0.41,0.002,0.041,0.037,0.51
215,0.003,0.028,0.071,0.011,0.887
216,0.542,0,0.041,0.132,0.285
217,0.9,0.003,0.013,0.015,0.069
218,0.228,0,0.046,0.097,0.629
219,0.512,0,0.007,0.239,0.242
220,0.278,0.001,0.053,0.48,0.188
221,0.106,0,0.046,0.448,0.4
222,0.028,0.072,0.154,0.021,0.725
223,0.252,0.038,0.12,0.023,0.567
224,0.659,0,0.015,0.205,0.121
225,0.07,0.002,0.175,0.497,0.256
226,0.545,0,0.053,0.289,0.113
227,0.021,0.032,0.194,0.015,0.738
228,0.004,0.04,0.078,0.034,0.844
229,0.616,0,0.011,0.297,0.076
230,0.014,0.024,0.124,0.011,0.827
231,0.898,0.002,0.003,0.012,0.085
232,0.78,0,0.004,0.108,0.108
233,0.006,0.024,0.064,0.007,0.899
234,0.04,0.001,0.165,0.405,0.389
235,0.528,0.004,0.061,0.278,0.129
236,0.807,0.002,0.004,0.021,0.166
237,0.488,0,0.023,0.408,0.081
238,0.031,0.021,0.198,0.112,0.638
239,0.698,0,0.009,0.215,0.078
240,0.822,0.001,0.016,0.021,0.14
241,0.759,0,0.012,0.043,0.186
242,0.295,0.002,0.037,0.395,0.271
243,0.724,0.002,0.017,0.021,0.236
244,0.46,0,0.015,0.146,0.379
245,0.365,0.002,0.019,0.375,0.239
246,0.437,0.001,0.067,0.347,0.148
247,0.304,0,0.008,0.172,0.516
248,0.381,0,0.012,0.271,0.336
249,0.351,0,0.03,0.431,0.188
250,0.838,0.008,0.024,0.058,0.072
251,0.004,0.021,0.036,0.553,0.386
252,0.303,0,0.02,0.526,0.151
253,0.001,0.014,0.105,0.014,0.866
254,0.235,0,0.034,0.449,0.282
255,0.001,0.03,0.058,0.016,0.895
256,0.41,0,0.017,0.258,0.315
257,0.438,0.004,0.091,0.123,0.344
258,0.542,0.001,0.004,0.123,0.33
259,0.216,0.002,0.079,0.527,0.176
260,0.851,0,0.006,0.03,0.113
261,0.701,0,0.005,0.139,0.155
262,0.662,0.001,0.005,0.233,0.099
263,0.637,0.002,0.005,0.189,0.167
264,0.472,0.001,0.017,0.38,0.13
265,0.346,0,0.028,0.546,0.08
266,0.413,0,0.04,0.143,0.404
267,0.03,0.013,0.181,0.084,0.692
268,0.009,0.015,0.141,0.022,0.813
269,0.004,0.037,0.368,0.016,0.575
270,0.8,0,0.012,0.073,0.115
271,0.01,0.033,0.16,0.011,0.786
272,0.219,0.044,0.105,0.03,0.602
273,0.02,0.047,0.074,0.493,0.366
274,0.335,0.002,0.112,0.106,0.445
275,0.207,0.06,0.244,0.167,0.322
276,0.006,0.03,0.404,0.023,0.537
277,0,0.122,0.117,0.005,0.756
278,0.207,0.004,0.137,0.066,0.586
279,0.56,0.013,0.02,0.173,0.234
280,0.089,0.021,0.142,0.118,0.63
281,0.539,0,0.087,0.271,0.103
282,0.251,0,0.062,0.463,0.224
283,0.019,0.005,0.102,0.049,0.825
284,0.79,0.002,0.003,0.027,0.178
285,0.347,0,0.058,0.393,0.202
286,0.385,0.001,0.048,0.412,0.154
287,0.002,0.012,0.203,0.022,0.761
288,0.006,0.025,0.058,0.012,0.899
289,0.577,0,0.03,0.228,0.165
290,0.454,0,0.047,0.374,0.125
291,0.529,0.001,0.026,0.016,0.428
292,0.881,0,0.003,0.018,0.098
293,0.821,0.002,0.013,0.02,0.144
294,0.056,0.003,0.17,0.116,0.655
295,0.278,0,0.09,0.5,0.132
296,0.019,0.013,0.128,0.074,0.766
297,0.418,0.001,0.098,0.324,0.159
298,0.046,0.063,0.314,0.102,0.475
299,0.635,0.003,0.014,0.265,0.083
300,0.309,0,0.014,0.294,0.383
301,0.379,0,0.027,0.432,0.162
302,0.803,0,0.014,0.018,0.165
303,0.8,0.001,0.012,0.032,0.155
304,0.371,0.001,0.047,0.444,0.137
305,0.021,0.011,0.296,0.102,0.57
306,0.284,0,0.098,0.573,0.045
307,0.788,0.001,0.009,0.062,0.14
308,0.379,0,0.007,0.307,0.307
309,0.699,0,0.003,0.186,0.112
310,0.096,0.097,0.034,0.014,0.759
311,0.377,0.01,0.019,0.278,0.316
312,0.851,0.001,0.017,0.015,0.116
313,0.012,0.01,0.123,0.015,0.84
314,0.402,0,0.044,0.37,0.184
315,0.027,0.019,0.043,0.015,0.896
316,0.48,0.001,0.027,0.384,0.108
317,0.36,0.002,0.069,0.427,0.142
318,0.783,0,0.007,0.047,0.163
319,0.004,0.039,0.094,0.016,0.847
320,0.39,0,0.021,0.397,0.192
321,0.245,0.001,0.022,0.296,0.436
322,0,0.012,0.094,0.006,0.888
323,0,0.024,0.145,0.011,0.82
324,0.761,0.003,0.011,0.06,0.165
325,0.797,0.001,0.001,0.026,0.175
326,0.761,0.002,0.002,0.036,0.199
327,0.745,0,0.005,0.131,0.119
328,0.283,0.001,0.054,0.491,0.171
329,0.631,0.001,0.008,0.122,0.238
330,0.065,0.009,0.109,0.35,0.467
331,0.281,0.002,0.127,0.466,0.124
332,0.013,0.004,0.239,0.017,0.727
333,0.9,0,0.027,0.024,0.049
334,0.615,0,0.011,0.043,0.331
335,0.019,0.103,0.318,0.022,0.538
336,0.861,0.001,0.004,0.015,0.119
337,0.02,0.029,0.494,0.023,0.434
338,0.505,0.003,0.036,0.186,0.27
339,0.038,0.018,0.205,0.1,0.639
340,0.391,0,0.049,0.384,0.176
341,0.243,0.032,0.104,0.076,0.545
342,0.602,0.002,0.002,0.034,0.36
343,0.018,0.011,0.508,0.068,0.395
344,0.65,0.011,0.012,0.141,0.186
345,0.714,0,0.023,0.072,0.191
346,0.349,0.006,0.05,0.383,0.212
347,0.233,0,0.034,0.555,0.178
348,0.169,0.071,0.047,0.034,0.679
349,0.194,0.001,0.099,0.6,0.106
350,0.451,0,0.05,0.346,0.153
351,0.505,0.001,0.016,0.185,0.293
352,0,0.033,0.099,0.004,0.864
353,0.347,0.018,0.096,0.443,0.096
354,0.883,0.002,0.009,0.017,0.089
355,0.656,0.001,0.042,0.176,0.125
356,0.012,0.11,0.304,0.008,0.566
357,0.652,0,0.016,0.07,0.262
358,0.645,0,0.009,0.037,0.309
359,0.303,0.06,0.058,0.014,0.565
360,0.553,0.001,0.017,0.056,0.373
361,0.831,0.003,0.005,0.054,0.107
362,0.086,0.01,0.099,0.286,0.519
363,0.27,0.004,0.079,0.484,0.163
364,0.658,0.005,0.016,0.082,0.239
365,0.577,0,0.022,0.141,0.26
366,0.007,0.007,0.65,0.024,0.312
367,0.638,0.014,0.016,0.031,0.301
368,0.03,0,0.541,0.079,0.35
369,0.007,0.015,0.276,0.002,0.7
370,0.504,0.001,0.027,0.047,0.421
371,0.637,0,0.017,0.181,0.165
372,0.592,0.001,0.016,0.069,0.322
373,0.92,0.001,0.004,0.013,0.062
374,0.206,0.001,0.064,0.488,0.241
375,0.001,0.006,0.183,0.01,0.8
376,0.371,0,0.028,0.444,0.157
377,0.571,0,0.098,0.152,0.179
378,0.698,0.004,0.01,0.223,0.065
379,0.47,0,0.028,0.248,0.254
380,0.326,0.091,0.046,0.016,0.521
381,0.752,0.005,0.018,0.037,0.188
382,0.001,0.019,0.113,0.014,0.853
383,0.004,0.077,0.093,0.012,0.814
384,0.009,0.007,0.147,0.016,0.821
385,0.488,0,0.019,0.378,0.115
386,0.175,0.003,0.061,0.647,0.114
387,0.001,0.03,0.056,0.013,0.9
388,0.65,0.002,0.005,0.168,0.175
389,0.6,0.002,0.009,0.033,0.356
390,0.768,0.003,0.013,0.02,0.196
391,0.056,0.002,0.224,0.444,0.274
392,0,0.015,0.101,0.006,0.878
393,0.691,0.001,0.001,0.029,0.278
394,0.012,0.024,0.26,0.025,0.679
395,0.391,0.005,0.035,0.374,0.195
396,0.167,0.001,0.099,0.542,0.191
397,0.057,0.003,0.166,0.45,0.324
398,0.621,0.044,0.029,0.032,0.274
399,0.497,0.001,0.01,0.309,0.183
400,0.662,0,0.007,0.137,0.194
401,0.918,0.002,0.008,0.01,0.062
402,0.657,0,0.011,0.204,0.128
403,0.502,0,0.045,0.263,0.19
404,0,0.024,0.066,0.013,0.897
405,0.238,0.028,0.054,0.03,0.65
406,0.296,0.006,0.045,0.488,0.165
407,0.572,0,0.006,0.044,0.378
408,0.172,0,0.155,0.474,0.199
409,0.765,0,0.002,0.09,0.143
410,0.001,0.065,0.111,0.019,0.804
411,0.078,0.015,0.071,0.481,0.355
412,0.697,0,0.021,0.017,0.265
413,0.431,0,0.016,0.37,0.183
414,0.877,0.002,0.007,0.025,0.089
415,0.344,0.004,0.064,0.47,0.118
416,0.933,0.001,0.006,0.011,0.049
417,0.448,0,0.028,0.387,0.137
418,0.308,0,0.011,0.297,0.384
419,0.672,0,0.021,0.034,0.273
420,0.626,0,0.009,0.082,0.283
421,0.725,0,0.003,0.128,0.144
422,0,0.035,0.058,0.007,0.9
423,0.005,0.15,0.053,0.014,0.778
424,0.859,0,0.007,0.065,0.069
425,0.648,0,0.022,0.061,0.269
426,0.002,0.019,0.166,0.107,0.706
427,0.695,0.004,0.022,0.051,0.228
428,0.005,0.014,0.227,0.016,0.738
429,0.083,0.008,0.019,0.234,0.656
430,0.002,0.021,0.072,0.01,0.895
431,0.574,0,0.005,0.111,0.31
432,0.305,0,0.021,0.564,0.11
433,0.645,0.001,0.01,0.147,0.197
434,0.363,0.002,0.081,0.393,0.161
435,0.002,0.029,0.115,0.017,0.837
436,0.013,0.006,0.14,0.021,0.82
437,0.479,0.001,0.001,0.044,0.475
438,0.429,0.002,0.016,0.375,0.178
439,0.007,0.009,0.236,0.058,0.69
440,0.574,0,0.004,0.056,0.366
441,0.062,0.019,0.124,0.241,0.554
442,0.537,0,0.013,0.277,0.173
443,0.612,0,0.014,0.093,0.281
444,0.227,0,0.032,0.593,0.148
445,0.536,0,0.032,0.283,0.149
446,0.714,0.001,0.017,0.184,0.084
447,0.602,0.005,0.064,0.192,0.137
448,0.177,0.021,0.063,0.016,0.723
449,0.512,0.115,0.03,0.027,0.316
450,0.341,0.003,0.079,0.136,0.441
451,0.002,0.021,0.097,0.011,0.869
452,0.483,0.003,0.058,0.146,0.31
453,0.463,0,0.008,0.403,0.126
454,0.018,0.011,0.29,0.014,0.667
455,0.483,0.001,0.025,0.399,0.092
456,0.456,0,0.04,0.331,0.173
457,0.601,0,0.006,0.037,0.356
458,0.093,0.007,0.177,0.328,0.395
459,0.758,0,0.017,0.091,0.134
460,0.001,0.128,0.121,0.009,0.741
461,0.595,0.001,0.016,0.231,0.157
462,0.21,0,0.057,0.557,0.176
463,0,0.022,0.096,0.008,0.874
464,0.1,0.001,0.138,0.326,0.435
465,0.372,0,0.012,0.479,0.137
466,0.596,0.002,0.031,0.194,0.177
467,0.038,0.014,0.358,0.084,0.506
468,0.393,0.001,0.032,0.279,0.295
469,0.604,0,0.03,0.091,0.275
470,0.431,0.001,0.038,0.076,0.454
471,0.009,0.016,0.214,0.023,0.738
472,0.014,0.01,0.389,0.072,0.515
473,0.812,0.001,0.009,0.027,0.151
474,0.501,0.001,0.029,0.34,0.129
475,0.516,0,0.006,0.205,0.273
476,0.698,0,0.01,0.124,0.168
477,0.006,0.017,0.261,0.013,0.703
478,0.485,0,0.05,0.265,0.2
479,0.01,0.033,0.168,0.02,0.769
480,0.864,0.004,0.002,0.014,0.116
481,0.042,0.004,0.121,0.45,0.383
482,0.107,0.008,0.167,0.239,0.479
483,0.207,0.001,0.068,0.549,0.175
484,0.021,0.015,0.133,0.064,0.767
485,0.704,0.011,0.052,0.046,0.187
486,0.055,0.008,0.186,0.484,0.267
487,0.727,0,0.004,0.151,0.118
488,0.649,0.001,0.012,0.192,0.146
489,0.197,0.028,0.13,0.014,0.631
490,0.002,0.042,0.061,0.012,0.883
491,0,0.021,0.193,0.006,0.78
492,0.073,0.012,0.054,0.312,0.549
493,0.31,0.001,0.029,0.574,0.086
494,0.446,0.002,0.021,0.306,0.225
495,0.185,0.005,0.042,0.137,0.631
496,0.63,0,0.026,0.045,0.299
497,0.293,0,0.013,0.095,0.599
498,0.522,0,0.016,0.231,0.231
499,0.743,0.001,0.045,0.08,0.131
500,0.409,0,0.098,0.374,0.119
501,0.795,0.002,0.017,0.021,0.165
502,0.26,0.001,0.045,0.358,0.336
503,0.257,0.025,0.115,0.055,0.548
504,0.891,0,0.002,0.022,0.085
505,0.435,0,0.05,0.383,0.132
506,0.315,0.001,0.041,0.337,0.306
507,0.046,0.007,0.153,0.254,0.54
508,0.541,0,0.043,0.249,0.167
509,0.404,0.002,0.03,0.491,0.073
510,0.869,0.002,0.003,0.027,0.099
511,0.744,0.002,0.002,0.072,0.18
512,0.116,0.003,0.093,0.664,0.124
513,0.554,0.001,0.016,0.287,0.142
514,0.12,0.004,0.136,0.028,0.712
515,0.196,0,0.046,0.534,0.224
516,0.267,0,0.012,0.31,0.411
517,0.051,0.01,0.104,0.077,0.758
518,0.576,0.001,0.038,0.068,0.317
519,0.002,0.027,0.109,0.014,0.848
520,0.003,0.027,0.217,0.013,0.74
521,0.61,0,0.034,0.198,0.158
522,0.61,0.018,0.02,0.136,0.216
523,0.563,0.007,0.033,0.044,0.353
524,0.263,0.002,0.017,0.213,0.505
525,0.615,0,0.006,0.032,0.347
526,0.173,0.003,0.097,0.574,0.153
527,0.545,0,0.015,0.25,0.19
528,0.243,0,0.042,0.579,0.136
529,0.001,0.019,0.059,0.008,0.913
530,0.902,0.002,0.008,0.029,0.059
531,0.001,0.031,0.144,0.023,0.801
532,0.267,0.001,0.114,0.452,0.166
533,0.78,0.001,0.009,0.036,0.174
534,0.73,0,0.04,0.038,0.192
535,0.005,0.037,0.166,0.016,0.776
536,0.762,0,0.005,0.037,0.196
537,0.442,0,0.057,0.357,0.144
538,0.464,0.003,0.012,0.065,0.456
539,0.263,0.001,0.061,0.416,0.259
540,0.044,0.001,0.264,0.29,0.401
541,0.026,0.015,0.185,0.254,0.52
542,0,0.01,0.101,0.01,0.879
543,0.875,0.001,0.009,0.03,0.085
544,0.006,0.032,0.302,0.016,0.644
545,0.023,0.026,0.238,0.042,0.671
546,0.401,0,0.024,0.301,0.274
547,0.002,0.027,0.13,0.006,0.835
548,0.68,0.001,0.012,0.195,0.112
549,0.023,0.014,0.452,0.062,0.449
550,0.002,0.015,0.08,0.012,0.891
551,0.543,0.003,0.003,0.157,0.294
552,0.671,0.001,0.03,0.145,0.153
553,0.475,0.001,0.002,0.211,0.311
554,0.771,0.001,0.005,0.054,0.169
555,0.003,0.02,0.176,0.022,0.779
556,0.102,0.008,0.055,0.04,0.795
557,0.06,0.005,0.096,0.432,0.407
558,0.601,0,0.003,0.2,0.196
559,0.864,0,0.004,0.017,0.115
560,0.294,0,0.143,0.457,0.106
561,0.32,0,0.025,0.472,0.183
562,0.14,0.012,0.088,0.644,0.116
563,0.065,0.007,0.134,0.324,0.47
564,0.54,0,0.023,0.28,0.157
565,0.012,0.009,0.144,0.028,0.807
566,0.547,0,0.013,0.191,0.249
567,0.015,0.036,0.099,0.077,0.773
568,0.612,0,0.037,0.144,0.207
569,0.493,0,0.014,0.312,0.181
570,0.716,0,0.003,0.11,0.171
571,0.668,0,0.001,0.102,0.229
572,0.534,0,0.027,0.354,0.085
573,0.063,0.004,0.164,0.42,0.349
574,0.003,0.023,0.095,0.007,0.872
575,0.841,0.002,0.009,0.051,0.097
576,0.849,0,0.005,0.028,0.118
577,0.319,0.004,0.048,0.526,0.103
578,0.772,0.001,0.004,0.026,0.197
579,0.007,0.037,0.203,0.045,0.708
580,0.818,0.001,0.001,0.143,0.037
581,0.359,0,0.049,0.447,0.145
582,0.011,0.006,0.183,0.021,0.779
583,0.34,0,0.027,0.482,0.151
584,0.689,0,0.012,0.064,0.235
585,0.296,0.002,0.015,0.145,0.542
586,0.333,0.033,0.093,0.014,0.527
587,0.793,0.001,0.02,0.041,0.145
588,0.011,0.012,0.203,0.16,0.614
589,0.414,0,0.016,0.212,0.358
590,0.548,0.001,0.003,0.264,0.184
591,0.377,0.001,0.033,0.296,0.293
592,0.27,0.001,0.042,0.498,0.189
593,0.002,0.025,0.06,0.008,0.905
594,0.21,0.006,0.066,0.555,0.163
595,0.626,0.004,0.049,0.158,0.163
596,0.248,0,0.047,0.4,0.305
597,0.734,0,0.075,0.1,0.091
598,0.446,0,0.035,0.4,0.119
599,0.691,0.004,0.005,0.138,0.162
600,0.223,0.051,0.11,0.018,0.598
601,0.009,0.036,0.174,0.034,0.747
602,0.609,0.001,0.015,0.225,0.15
603,0.352,0.001,0.046,0.271,0.33
604,0.052,0.016,0.14,0.394,0.398
605,0.004,0.036,0.053,0.018,0.889
606,0.006,0.023,0.2,0.023,0.748
607,0.498,0.001,0.028,0.159,0.314
608,0.126,0.006,0.223,0.061,0.584
609,0.006,0.02,0.116,0.013,0.845
610,0.137,0.009,0.051,0.318,0.485
611,0.624,0.001,0.002,0.12,0.253
612,0.343,0,0.02,0.168,0.469
613,0.723,0.001,0.012,0.05,0.214
614,0.505,0.006,0.021,0.187,0.281
615,0.602,0,0.006,0.067,0.325
616,0.37,0.002,0.041,0.478,0.109
617,0.722,0,0.037,0.1,0.141
618,0.467,0.002,0.027,0.354,0.15
619,0.868,0.001,0.01,0.022,0.099
620,0.899,0,0.003,0.019,0.079
621,0.038,0.013,0.255,0.057,0.637
622,0.563,0.002,0.041,0.188,0.206
623,0.194,0.002,0.24,0.072,0.492
624,0.271,0,0.04,0.303,0.386
625,0.4,0.001,0.033,0.361,0.205
626,0.263,0.003,0.047,0.154,0.533
627,0.485,0,0.032,0.184,0.299
628,0.024,0.079,0.198,0.02,0.679
629,0.291,0.001,0.02,0.583,0.105
630,0,0.016,0.1,0.008,0.876
631,0.375,0,0.023,0.444,0.158
632,0.57,0,0.014,0.185,0.231
633,0.657,0.002,0.011,0.133,0.197
634,0.622,0,0.012,0.055,0.311
635,0.001,0.026,0.075,0.008,0.89
636,0.693,0.002,0.031,0.028,0.246
637,0.701,0,0.008,0.027,0.264
638,0.497,0,0.013,0.351,0.139
639,0,0.037,0.107,0.005,0.851
640,0.602,0,0.002,0.067,0.329
641,0.029,0.021,0.209,0.017,0.724
642,0.131,0.07,0.039,0.018,0.742
643,0.005,0.028,0.118,0.017,0.832
644,0.519,0.012,0.027,0.311,0.131
645,0.784,0.002,0.005,0.025,0.184
646,0.534,0,0.03,0.361,0.075
647,0.407,0.001,0.087,0.278,0.227
648,0.001,0.047,0.081,0.007,0.864
649,0.046,0.006,0.078,0.093,0.777
650,0.001,0.086,0.112,0.008,0.793
651,0.005,0.027,0.18,0.023,0.765
652,0.729,0.001,0.026,0.138,0.106
653,0.257,0.001,0.061,0.463,0.218
654,0.587,0.001,0.009,0.021,0.382
